https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%B2_%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%83%D1%8E_%D0%B4%D1%83%D0%BC%D1%83_(1995)

Регион 	КПРФ 	ЛДПР 	НДР 	Яблоко 	ДВР 	АПР
Саратовская область 	28,26 % 	15,46 % 	7,96 % 	3,91 % 	3,10 % 	3,96 %
Сахалинская область 	24,61 % 	15,32 % 	4,08 % 	6,76 % 	1,78 % 	0,51 %
Свердловская область 	8,25 % 	9,20 % 	8,32 % 	6,65 % 	4,87 % 	2,55 %
Смоленская область 	31,89 % 	19,64 % 	4,59 % 	3,97 % 	3,61 % 	3,63 %
Тамбовская область 	40,31 % 	12,14 % 	5,02 % 	2,90 % 	1,65 % 	5,49 %
Тверская область 	27,18 % 	7,18 % 	8,33 % 	5,61 % 	2,83 % 	5,97 %
Томская область 	18,77 % 	10,48 % 	9,15 % 	10,37 % 	3,09 % 	2,23 %
Тульская область 	22,07 % 	13,19 % 	10,33 % 	5,22 % 	3,11 % 	3,74 %
Тюменская область 	15,42 % 	11,15 % 	9,48 % 	4,42 % 	2,15 % 	2,53 %
Ульяновская область 	37,16 % 	13,26 % 	4,70 % 	2,89 % 	2,59 % 	2,94 %
Челябинская область 	14,70 % 	10,06 % 	7,94 % 	9,89 % 	6,72 % 	1,96 %
Читинская область 	21,56 % 	20,59 % 	4,25 % 	2,53 % 	1,71 % 	6,10 %
Ярославская область 	14,53 % 	9,89 % 	8,68 % 	11,69 % 	3,69 % 	3,21 %
Москва 	14,84 % 	2,53 % 	19,05 % 	14,94 % 	11,55 % 	0,27 %
Санкт-Петербург 	13,21 % 	3,42 % 	12,78 % 	16,03 % 	12,37 % 	0,41 %
Еврейская автономная область 	23,42 % 	11,58 % 	5,06 % 	4,56 % 	1,69 % 	3,48 %
Агинский Бурятский АО 	18,02 % 	8,94 % 	3,76 % 	1,20 % 	1,42 % 	32,32 %
Коми-Пермяцкий АО 	12,27 % 	21,69 % 	9,56 % 	1,50 % 	1,46 % 	7,28 %
Корякский АО 	10,00 % 	13,14 % 	6,94 % 	9,40 % 	2,49 % 	0,93 %
Ненецкий АО 	11,42 % 	16,82 % 	7,58 % 	4,08 % 	2,43 % 	5,20 %
Таймырский (Долгано-Ненецкий) АО 	6,12 % 	15,40 % 	13,84 % 	6,14 % 	3,07 % 	0,42 %
Усть-Ордынский Бурятский АО 	22,80 % 	7,18 % 	9,28 % 	2,05 % 	0,98 % 	19,08 %
Ханты-Мансийский АО 	7,96 % 	15,28 % 	14,08 % 	5,68 % 	2,84 % 	0,41 %
Чукотский АО 	11,03 % 	13,32 % 	17,40 % 	6,51 % 	1,82 % 	0,67 %
Эвенкийский АО 	13,73 % 	13,02 % 	6,66 % 	4,97 % 	2,17 % 	1,07 %
Ямало-Ненецкий АО 	5,63 % 	14,95 % 	23,05 % 	6,32 % 	2,17 % 	0,33 %
