https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%B2_%D0%93%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%83%D1%8E_%D0%B4%D1%83%D0%BC%D1%83_(2011)

Регион 	Явка 	ЕР 	КПРФ 	СР 	ЛДПР 	«Яблоко» 	ПР 	ПД 	Испорченные бюллетени
Республика Ингушетия 	86,2 % 	91,0 % 	2,9 % 	2,3 % 	0,4 % 	0,8 % 	0,3 % 	1,5 % 	0,8 %
Москва 	61,7 % 	46,6 % 	19,3 % 	12,1 % 	9,4 % 	8,5 % 	1,3 % 	0,8 % 	1,7 %
Московская область 	50,7 % 	32,5 % 	25,9 % 	16,0 % 	14,4 % 	6,1 % 	1,3 % 	1,0 % 	2,8 %
Владимирская область 	48,9 % 	38,3 % 	20,5 % 	21,5 % 	12,9 % 	3,5 % 	1,1 % 	0,6 % 	1,5 %
Тульская область 	72,8 % 	61,3 % 	15,1 % 	8,5 % 	9,2 % 	3,5 % 	0,8 % 	0,4 % 	1,2 %
Тверская область 	53,4 % 	38,4 % 	23,2 % 	19,8 % 	11,7 % 	3,8 % 	1,2 % 	0,5 % 	1,3 %
Ярославская область 	55,9 % 	29,0 % 	24,0 % 	22,6 % 	15,5 % 	4,8 % 	1,8 % 	0,7 % 	1,6 %
Брянская область 	59,9 % 	50,1 % 	23,3 % 	11,2 % 	10,6 % 	2,0 % 	0,9 % 	0,4 % 	1,4 %
Рязанская область 	52,7 % 	39,8 % 	23,6 % 	15,1 % 	15,1 % 	3,1 % 	1,2 % 	0,7 % 	1,6 %
Ивановская область 	52,9 % 	40,1 % 	22,5 % 	15,6 % 	14,8 % 	3,5 % 	1,2 % 	0,8 % 	1,5 %
Смоленская область 	49,6 % 	36,2 % 	24,2 % 	18,6 % 	14,8 % 	2,9 % 	1,1 % 	0,5 % 	1,6 %
Калужская область 	57,5 % 	40,5 % 	21,9 % 	15,6 % 	14,4 % 	4,1 % 	1,4 % 	0,6 % 	1,6 %
Орловская область 	64,7 % 	38,9 % 	32,0 % 	11,2 % 	12,2 % 	2,1 % 	0,9 % 	0,8 % 	1,8 %
Костромская область 	58,6 % 	30,7 % 	28,0 % 	18,0 % 	15,4 % 	1,8 % 	0,9 % 	0,4 % 	1,3 %
Воронежская область 	64,3 % 	49,5 % 	21,8 % 	14,4 % 	8,8 % 	2,2 % 	0,8 % 	0,4 % 	1,9 %
Белгородская область 	75,5 % 	51,2 % 	22,4 % 	11,6 % 	9,6 % 	2,1 % 	1,0 % 	0,4 % 	1,6 %
Курская область 	54,7 % 	45,7 % 	20,7 % 	14,4 % 	13,5 % 	2,3 % 	1,4 % 	0,5 % 	1,5 %
Липецкая область 	57,1 % 	40,3 % 	22,8 % 	16,6 % 	14,3 % 	2,5 % 	0,9 % 	0,5 % 	1,9 %
Тамбовская область 	68,3 % 	66,7 % 	16,5 % 	6,0 % 	7,1 % 	1,4 % 	0,5 % 	0,3 % 	1,5 %
Архангельская область 	49,8 % 	31,9 % 	20,2 % 	22,1 % 	18,2 % 	4,5 % 	1,2 % 	0,8 % 	1,2 %
Вологодская область 	56,3 % 	33,4 % 	16,8 % 	27,1 % 	15,4 % 	3,5 % 	1,3 % 	0,7 % 	1,8 %
Республика Коми 	70,5 % 	58,8 % 	13,5 % 	11,5 % 	11,9 % 	1,5 % 	0,9 % 	0,6 % 	1,3 %
Мурманская область 	51,8 % 	32,0 % 	21,8 % 	19,7 % 	18,1 % 	4,7 % 	1,2 % 	0,6 % 	1,9 %
Республика Карелия 	50,2 % 	32,3 % 	19,3 % 	20,6 % 	17,9 % 	6,2 % 	0,9 % 	0,9 % 	1,9 %
Ненецкий автономный округ 	48,0 % 	36,0 % 	24,8 % 	15,0 % 	17,5 % 	2,8 % 	1,3 % 	1,1 % 	1,5 %
Санкт-Петербург 	54,5 % 	35,4 % 	15,3 % 	23,7 % 	10,3 % 	11,6 % 	1,2 % 	0,9 % 	1,6 %
Ленинградская область 	51,8 % 	33,7 % 	17,3 % 	25,1 % 	14,7 % 	4,9 % 	1,2 % 	0,6 % 	2,5 %
Калининградская область 	54,6 % 	37,1 % 	25,5 % 	13,3 % 	14,1 % 	5,5 % 	2,2 % 	0,7 % 	1,6 %
Псковская область 	52,9 % 	36,7 % 	25,1 % 	16,4 % 	13,9 % 	5,1 % 	0,9 % 	0,5 % 	1,4 %
Новгородская область 	56,7 % 	35,3 % 	19,0 % 	28,2 % 	11,6 % 	2,7 % 	0,9 % 	0,5 % 	1,8 %
Байконур 	45,9 % 	48,4 % 	16,3 % 	11,9 % 	15,6 % 	2,9 % 	1,3 % 	0,6 % 	2,8 %
За пределами РФ* 	92,5 % * 	63,9 % 	11,7 % 	7,1 % 	7,3 % 	7,0 % 	0,8 % 	0,6 % 	1,6 %
