http://www.electoralgeography.com/ru/countries/r/russia/2003-legislative-elections-russia.html

 	Участие, % 	СПС 	РПП \ РСС 	 ЯБЛОКО 	 АПР 	 Родина 	 ЛДПР 	Единая Россия 	 КПРФ 	Против всех
Магаданская 	51,1 	3,7 	3 	4,6 	1,6 	8,1 	19,7 	34,4 	11,9 	5,3
Московская 	53,3 	4,4 	2,8 	5,9 	2,5 	15,6 	9,3 	33,6 	9,7 	6,1
Мурманский  	52,7 	2,9 	5 	5,5 	1,4 	9,9 	15,4 	39,2 	7,4 	5,3
Нижегородская 	47 	6,8 	3,2 	3 	4,4 	10 	10,4 	32 	14,3 	5,7
Новгородская 	51 	2,4 	2,9 	5 	5,3 	9,3 	12,6 	37,1 	11,7 	4,2
Новосибирская 	56,1 	4,5 	2,7 	4,8 	4 	8,7 	12,3 	28,9 	18 	5,9
Омская 	55,4 	3,8 	3,3 	4,2 	4,5 	7,3 	14,3 	32,7 	16,2 	4,2
Оренбургская 	55,5 	2,8 	2,5 	3,4 	8,9 	7,1 	15,8 	27,6 	19 	3,9
Орловский  	73,8 	1,5 	1,7 	2 	2,1 	8,4 	11,2 	44,6 	16,3 	4,8
Пензенская 	57,5 	1,3 	3,7 	2,8 	2,7 	7,3 	9,9 	45,1 	14,1 	3,9
Пермская 	62,4 	8,7 	5 	5,5 	4,4 	5,8 	12,9 	30,7 	7,6 	7
Псковская 	56,8 	3,8 	3,3 	3,1 	3,1 	8,1 	10,7 	37,1 	15,2 	4
Ростовская 	54,4 	2,6 	3,6 	3,8 	2,9 	9 	11,3 	39 	14,7 	4,5
Рязанская 	53,5 	3 	7,8 	3,2 	5,7 	9,6 	11,3 	31,7 	13,6 	5,3
Самарская 	51,4 	3,5 	3,8 	3,9 	2,9 	8,1 	13,5 	32,6 	17,4 	4,8
Саратовская 	60,4 	2,8 	2,6 	2,9 	2,4 	6,6 	9,3 	44,3 	16,8 	4,3
Сахалинский  	51,9 	3,7 	4,3 	5,5 	1,8 	9,4 	18,7 	30,1 	11,9 	5,6
Свердловская 	49 	7 	5,5 	6 	3,1 	6,5 	13,9 	34,1 	7,9 	4,7
Смоленская 	53,3 	2,1 	4,5 	3,7 	3,3 	8,3 	13,2 	37,3 	15,1 	4,3
Тамбовская 	53 	1,9 	5,7 	2,8 	5,4 	7,5 	11,1 	29 	20,6 	5,6
Тверская 	58,1 	4 	3,1 	3,9 	5,8 	9,8 	12,6 	34,5 	11,3 	3,9
Томская 	55,4 	5,2 	5,4 	6 	2 	6,2 	13,8 	34 	12,6 	5,5
Тульская 	51,7 	3,7 	3,7 	4,7 	3,2 	13 	11,7 	29,9 	13,9 	6,6
Тюменская 	55 	2,1 	1,8 	2,6 	2,7 	4,7 	12,9 	49,7 	9,9 	3,3
Ульяновская 	55 	2 	2,9 	3,3 	4,9 	9,9 	12,5 	34 	14,1 	5,9
Челябинская 	52,6 	4,1 	10,2 	5,4 	2,7 	6,1 	11,9 	33,8 	12,1 	5,4
Читинская 	50,6 	1,6 	2,8 	2,6 	5,5 	5,8 	18,1 	38,1 	12,6 	3,6
Ярославская 	60 	4,3 	2,7 	4 	4,9 	13,1 	11,4 	35,6 	9,2 	4,9
Москва 	57,7 	8 	2,1 	10,3 	1,6 	15,4 	6,4 	34,1 	7,7 	6,4
Санкт-Петербург 	45,3 	8,9 	2,8 	9 	1,5 	13,7 	7,7 	31,8 	8,3 	4,1
Еврейская 	58,9 	2,4 	1,9 	3,8 	1,9 	4 	15,4 	42,2 	16,3 	4,6
Агинский Бурятский  	68,9 	0,9 	2,2 	4,1 	7,4 	3 	6,5 	58,1 	7,2 	1,1
Коми-Пермяцкий  	64,3 	7,1 	3,3 	1,4 	4 	3,1 	8,5 	46,3 	7,5 	3,3
Корякский  	62 	1,8 	3,2 	3,2 	1,7 	5,9 	13 	47,4 	8,5 	4,3
Ненецкий  	63,1 	2,8 	2,7 	2,7 	2,4 	5,3 	14 	38,7 	9,3 	6,3
Таймырский  	51,9 	2,2 	3,2 	3,4 	1,5 	6,5 	14,8 	48 	4,6 	5,8
Усть-Ордынский Бурятский  	68,8 	1,7 	2,3 	1,4 	13 	2,3 	7,5 	46,4 	10,2 	2,3
Ханты-Мансийский  	53,6 	3,8 	3,2 	4,3 	1,6 	4,9 	18,3 	41,3 	8 	6,4
Чукотский  	62 	2,6 	3,2 	2,8 	1,2 	4,4 	10,8 	54,4 	5,2 	4,2
Эвенкийский  	50,7 	3,1 	2,9 	2,1 	1,4 	8,1 	10,5 	52,3 	4,8 	4,9
Ямало-Ненецкий  	59 	4,2 	2,6 	4,5 	1,3 	7,7 	13,9 	45,8 	6 	5,5
Россия 	55,6 	4 	3,1 	4,3 	3,7 	9 	11,5 	37,4 	12,7 	4,7
